Parcel,Crop,Area (ha),NDVI,NDRE,Vigor Z,Heterog.,Runoff,Conf.,Risk Score,Risk Level
LPIS-61554056149_44A,Winter Wheat,20.09000015258789,0.667,0.501,,22.3,15,0.42,10.6,Low
LPIS-61493942242_5A,Winter Wheat,20.09000015258789,0.642,0.475,,14.7,15,0.65,9.8,Low
LPIS-61693962638_5A,Maize,20,0.289,0.179,,70.9,40,0.42,22.9,Low
LPIS-61613950860_102A,Ley / Grass,19.969999313354492,0.759,0.527,,11.4,40,0.52,26.9,Low
LPIS-61553950564_79A,Winter Wheat,19.969999313354492,0.759,0.536,,14.6,15,0.46,9.3,Low
LPIS-61673943646_16A,Winter Wheat,19.920000076293945,0.876,0.654,,5.9,40,0.58,38.6,Moderate
LPIS-61594013259_5C,Winter Wheat,19.850000381469727,0.818,0.662,,10.9,15,0.65,17.9,Low
LPIS-61563957379_9A,Spring Barley,19.760000228881836,0.886,0.698,,7.1,15,0.37,31.2,Moderate
LPIS-61593997706_31C,Winter Wheat,19.75,0.603,0.445,,29.8,15,0.45,11.2,Low
LPIS-61513931258_27A,Spring Barley,19.68000030517578,0.833,0.676,,12.1,15,0.59,21.5,Low
LPIS-61493942242_5B,Rapeseed,19.530000686645508,0.704,0.546,,7,15,0.67,9.4,Low
LPIS-61523982962_4B,Sugar Beet,19.530000686645508,0.854,0.59,,6.7,15,0.64,28.4,Low
LPIS-61673963354_110A,Maize,19.5,0.407,0.273,,44.1,40,0.67,20.9,Low
LPIS-61513950680_66F,Sugar Beet,19.5,0.838,0.576,,5.2,15,0.48,23.3,Low
LPIS-61513990350_14A,Rapeseed,19.469999313354492,0.843,0.657,,18.9,15,0.53,26.3,Low
LPIS-61533928980_65B,Winter Wheat,19.440000534057617,0.78,0.604,,11.3,15,0.65,9.8,Low
LPIS-61594045645_17A,Winter Wheat,19.420000076293945,0.8,0.638,,12.9,40,0.71,22.9,Low
LPIS-61544057025_109A,Spring Barley,19.389999389648438,0.802,0.625,,10.3,15,0.57,14.9,Low
LPIS-61564074066_18A,Winter Wheat,19.3799991607666,0.71,0.576,,18.2,40,0.44,20,Low
LPIS-61514023518_49A,Spring Barley,19.3799991607666,0.815,0.651,,11.5,15,0.57,17.7,Low
LPIS-61563941281_3A,Rapeseed,19.290000915527344,0.806,0.657,,12.1,15,0.53,19.3,Low
LPIS-61563972387_29E,Spring Barley,19.219999313354492,0.783,0.629,,15.9,15,0.48,12.1,Low
